title,year,journal,authors,doi,url,source,collected_at
Alveolar cleft bone grafting (Part I): Primary bone grafting,1996,Journal of Oral and Maxillofacial Surgery,Barry L Eppley,10.1016/s0278-2391(96)90310-9,https://doi.org/10.1016/s0278-2391(96)90310-9,crossref,2025-10-09T13:42:41+00:00
Craniofacial Reconstruction With Computer-Generated HTR Patient-Matched Implants: Use in Primary Bony Tumor Excision,2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200209000-00011,https://doi.org/10.1097/00001665-200209000-00011,crossref,2025-10-09T13:42:41+00:00
Preventing Postoperative Noise in Saline Breast Implants,1999,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-199906000-00026,https://doi.org/10.1097/00006534-199906000-00026,crossref,2025-10-09T13:42:41+00:00
Commentary on Surgical Outcomes Using Bioabsorbable Plating Systems in Pediatric Craniofacial Surgery,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199809000-00010,https://doi.org/10.1097/00001665-199809000-00010,crossref,2025-10-09T13:42:41+00:00
Bioabsorbable Plate and Screw Fixation in Orthognathic Surgery,2007,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/scs.0b013e3180684933,https://doi.org/10.1097/scs.0b013e3180684933,crossref,2025-10-09T13:42:41+00:00
Re: Outcome Analysis for Correction of Single Suture Craniosynostosis Using Resorbable Fixation.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200109000-00010,https://doi.org/10.1097/00001665-200109000-00010,crossref,2025-10-09T13:42:41+00:00
Discussion,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200501000-00038,https://doi.org/10.1097/00001665-200501000-00038,crossref,2025-10-09T13:42:41+00:00
Discussion,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200501000-00005,https://doi.org/10.1097/00001665-200501000-00005,crossref,2025-10-09T13:42:41+00:00
"A Long-Term Retrospective Outcome Assessment of Facial Growth, Secondary Surgical Need, and Maxillary Lateral Incisor Status in a Surgical-Orthodontic Protocol for Complete Clefts; Sheldon W. Rosenstein, D.D.S., Mitchell Grasseschi, M.D., and Diane V. Dado, M.D.",2003,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-200301000-00002,https://doi.org/10.1097/00006534-200301000-00002,crossref,2025-10-09T13:42:41+00:00
Zygomaticomaxillary Fracture Repair With Resorbable Plates and Screws,2000,Journal Of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200011040-00019,https://doi.org/10.1097/00001665-200011040-00019,crossref,2025-10-09T13:42:41+00:00
Preoperative Anthropometric Dysmorphology in Metopic Synostosis,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199807000-00025,https://doi.org/10.1097/00001665-199807000-00025,crossref,2025-10-09T13:42:41+00:00
"Re: LeFort I Soft Tissue Distraction: A Hybrid Technique. Wong GB and Padwa BL. J Craniofac Surg 2002, 13: 572–576.",2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200207000-00020,https://doi.org/10.1097/00001665-200207000-00020,crossref,2025-10-09T13:42:41+00:00
Use of resorbable plates and screws in pediatric facial fractures,2005,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/j.joms.2004.11.011,https://doi.org/10.1016/j.joms.2004.11.011,crossref,2025-10-09T13:42:41+00:00
Surgical Access,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00009-x,https://doi.org/10.1016/b978-1-4377-2420-2.00009-x,crossref,2025-10-09T13:42:41+00:00
Pediatric Plastic Surgery Revisited,2001,Clinics in Plastic Surgery,Barry L. Eppley,10.1016/s0094-1298(20)32419-6,https://doi.org/10.1016/s0094-1298(20)32419-6,crossref,2025-10-09T13:42:41+00:00
Alloplastic Tumor of the Palate: View From the Operating Room,2000,Journal Of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200011010-00013,https://doi.org/10.1097/00001665-200011010-00013,crossref,2025-10-09T13:42:41+00:00
Long-Term Results of Nonsurgical Management of Condylar Fractures in Children,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00020,https://doi.org/10.1097/00001665-200101000-00020,crossref,2025-10-09T13:42:41+00:00
Nasal Fractures,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00013-1,https://doi.org/10.1016/b978-1-4377-2420-2.00013-1,crossref,2025-10-09T13:42:41+00:00
Surgical Techniques in Orbital Roof Fractures,1996,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199603000-00024,https://doi.org/10.1097/00001665-199603000-00024,crossref,2025-10-09T13:42:41+00:00
"Influence of Cranioplasty on Postural Blood Flow Regulation, Cerebrovascular Reserve Capacity, and Cerebral Glucose Metabolism",2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00023,https://doi.org/10.1097/00001665-200101000-00023,crossref,2025-10-09T13:42:41+00:00
Re: Cutaneous Distribution of Infraorbital Nerve.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200401000-00003,https://doi.org/10.1097/00001665-200401000-00003,crossref,2025-10-09T13:42:41+00:00
Discussion,1994,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/0278-2391(94)90491-x,https://doi.org/10.1016/0278-2391(94)90491-x,crossref,2025-10-09T13:42:41+00:00
Re: Periodontal Evaluation in Patients Undergoing Maxillary Expansion.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00016,https://doi.org/10.1097/00001665-200101000-00016,crossref,2025-10-09T13:42:41+00:00
Re: Use of New Bioabsorbable Tacks and a Tack-Shooter in Cranial Bone Osteofixation Saves Operative Time.,2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200209000-00019,https://doi.org/10.1097/00001665-200209000-00019,crossref,2025-10-09T13:42:41+00:00
"Re: A Dynamic Method for Stabilizing Intraoral Skin Grafts That Is Simple, Inexpensive, and Effective.",2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200401000-00009,https://doi.org/10.1097/00001665-200401000-00009,crossref,2025-10-09T13:42:41+00:00
Reparación primaria de las lesiones de tejidos blandos faciales,2005,Traumatismos maxilofaciales y reconstrucción facial estética,Barry L. Eppley,10.1016/b978-84-8174-836-9.50019-5,https://doi.org/10.1016/b978-84-8174-836-9.50019-5,crossref,2025-10-09T13:42:41+00:00
Potential for Guided Bone Regeneration and Bone Graft Fixation With Resorbable Membranes in Pediatric Craniofacial Surgery,1997,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199703000-00012,https://doi.org/10.1097/00001665-199703000-00012,crossref,2025-10-09T13:42:41+00:00
Re: The Accuracy of Stereolithography in Planning Craniofacial Bone Replacement.,2003,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200311000-00018,https://doi.org/10.1097/00001665-200311000-00018,crossref,2025-10-09T13:42:41+00:00
The Use of Resorbable Spacers for Nasal Spreader Grafts,2000,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-200009040-00033,https://doi.org/10.1097/00006534-200009040-00033,crossref,2025-10-09T13:42:41+00:00
Re: Mandibular Ameloblastoma: Analysis of Surgical Treatment Carried Out in 60 Patients Between 1977 and 1998.,2002,Journal of Craniofacial Surgery,"Barry L. Eppley,",10.1097/00001665-200205000-00007,https://doi.org/10.1097/00001665-200205000-00007,crossref,2025-10-09T13:42:41+00:00
Elevated Levels of Transforming Growth Factors Beta 2 and 3 in Lambdoid Sutures From Children With Persistent Plagiocephaly,1997,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199711000-00020,https://doi.org/10.1097/00001665-199711000-00020,crossref,2025-10-09T13:42:41+00:00
Acrylic Cranioplasty with Alginate Molding,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199805000-00026,https://doi.org/10.1097/00001665-199805000-00026,crossref,2025-10-09T13:42:41+00:00
Discussion,2002,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-200207000-00007,https://doi.org/10.1097/00006534-200207000-00007,crossref,2025-10-09T13:42:41+00:00
Re: The Role of Trauma on Temporomandibular Joint Ankylosis and Mandibular Growth Retardation.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200403000-00025,https://doi.org/10.1097/00001665-200403000-00025,crossref,2025-10-09T13:42:41+00:00
Biomechanical Analysis of Hydroxyapatite Cement Cranioplasty.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200405000-00013,https://doi.org/10.1097/00001665-200405000-00013,crossref,2025-10-09T13:42:41+00:00
Three-Dimensional Computed Tomography,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199805000-00024,https://doi.org/10.1097/00001665-199805000-00024,crossref,2025-10-09T13:42:41+00:00
Submerged Intraoral Device for Mandibular Lengthening,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199807000-00026,https://doi.org/10.1097/00001665-199807000-00026,crossref,2025-10-09T13:42:41+00:00
Biomateriales aloplásticos para reconstrucción facial,2005,Traumatismos maxilofaciales y reconstrucción facial estética,Barry L. Eppley,10.1016/b978-84-8174-836-9.50008-0,https://doi.org/10.1016/b978-84-8174-836-9.50008-0,crossref,2025-10-09T13:42:41+00:00
Re: Primary Posttraumatic Mandibular Reconstruction in Infancy: A 10-Year Follow-Up.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200403000-00020,https://doi.org/10.1097/00001665-200403000-00020,crossref,2025-10-09T13:42:41+00:00
Re: Successful Use of Biosorb Osteofixation Devices in 165 Cranial and Maxillofacial Cases: A Multicenter Report.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200407000-00032,https://doi.org/10.1097/00001665-200407000-00032,crossref,2025-10-09T13:42:41+00:00
Commentary on Intraorbital Squamous Epithelial Cyst,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199809000-00013,https://doi.org/10.1097/00001665-199809000-00013,crossref,2025-10-09T13:42:41+00:00
Pediatric plastic surgery,1998,Journal of Pediatric Surgery,Barry L Eppley,10.1016/s0022-3468(98)90419-5,https://doi.org/10.1016/s0022-3468(98)90419-5,crossref,2025-10-09T13:42:41+00:00
Secondary Rhinoplasty for Traumatic Nasal Deformities,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00026-x,https://doi.org/10.1016/b978-1-4377-2420-2.00026-x,crossref,2025-10-09T13:42:41+00:00
Criteria for Selective Management of the Orbital Rim and Floor in Zygomatic Complex and Midface Fractures,1997,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199711000-00019,https://doi.org/10.1097/00001665-199711000-00019,crossref,2025-10-09T13:42:41+00:00
Osseous Craniofacial Arteriovenous Malformations in the Pediatric Population,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199805000-00025,https://doi.org/10.1097/00001665-199805000-00025,crossref,2025-10-09T13:42:41+00:00
Use of a Resorbable Fixation Technique for Maxillary Fractures,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199807000-00005,https://doi.org/10.1097/00001665-199807000-00005,crossref,2025-10-09T13:42:41+00:00
Evaluation of HTR polymer as a craniomaxillofacial graft material,1989,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/0278-2391(89)90670-8,https://doi.org/10.1016/0278-2391(89)90670-8,crossref,2025-10-09T13:42:41+00:00
Reconstruction of Bone Using Calcium Phosphate Bone Cements: A Critical Review,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00025,https://doi.org/10.1097/00001665-200101000-00025,crossref,2025-10-09T13:42:41+00:00
Increased Bone Formation and Osteoblastic Cell Phenotype in Premature Cranial Suture Ossification (Craniosynostosis),1997,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199711000-00021,https://doi.org/10.1097/00001665-199711000-00021,crossref,2025-10-09T13:42:41+00:00
Hydroxyapatite Cranioplasty: I. Experimental Results From a New Quick-Setting Material,2003,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200301000-00015,https://doi.org/10.1097/00001665-200301000-00015,crossref,2025-10-09T13:42:41+00:00
Endoscopic Craniectomy for Early Surgical Correction of Sagittal Craniosynostosis,1998,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199807000-00024,https://doi.org/10.1097/00001665-199807000-00024,crossref,2025-10-09T13:42:41+00:00
Planning Mandibular Distraction,1996,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199603000-00023,https://doi.org/10.1097/00001665-199603000-00023,crossref,2025-10-09T13:42:41+00:00
"Re: Do We Need Three-Dimensional Computed Tomography in Maxillofacial Surgery? Klenk G, Kovacs A, J Craniofac Surg 2004;(vol):000-000.",2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200409000-00027,https://doi.org/10.1097/00001665-200409000-00027,crossref,2025-10-09T13:42:41+00:00
Repair of midfacial fractures with resorbable plates and screws,2002,Operative Techniques in Otolaryngology-Head and Neck Surgery,Barry L. Eppley,10.1016/s1043-1810(02)80061-6,https://doi.org/10.1016/s1043-1810(02)80061-6,crossref,2025-10-09T13:42:41+00:00
Donor Site Morbidity of Rib Graft Harvesting in Primary Alveolar Cleft Bone Grafting,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200503000-00027,https://doi.org/10.1097/00001665-200503000-00027,crossref,2025-10-09T13:42:41+00:00
A Comparison of Single-Stage Versus Gradual Frontoparietal Advancement in Terms of Extradural Dead Space and Bone Deposition,1999,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199907000-00017,https://doi.org/10.1097/00001665-199907000-00017,crossref,2025-10-09T13:42:41+00:00
Discussion,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200503000-00025,https://doi.org/10.1097/00001665-200503000-00025,crossref,2025-10-09T13:42:41+00:00
Importance of Early Recognition and Treatment of Deformational Plagiocephaly with Orthotic Cranioplasty,1999,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199907000-00018,https://doi.org/10.1097/00001665-199907000-00018,crossref,2025-10-09T13:42:41+00:00
A Surgical Method for Treating Anterior Skull Base Injuries,1999,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199911000-00015,https://doi.org/10.1097/00001665-199911000-00015,crossref,2025-10-09T13:42:41+00:00
Facial Injury,1995,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199507000-00017,https://doi.org/10.1097/00001665-199507000-00017,crossref,2025-10-09T13:42:41+00:00
Osteomuscular flaps vs. Free bone grafts in craniofacial reconstruction: Experimental assessment of osseous healing,1989,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/0278-2391(89)90628-9,https://doi.org/10.1016/0278-2391(89)90628-9,crossref,2025-10-09T13:42:41+00:00
Alloplastic Materials for Facial Reconstruction,2006,Current Therapy in Plastic Surgery,Barry L. Eppley,10.1016/b978-0-7216-0000-0.50049-9,https://doi.org/10.1016/b978-0-7216-0000-0.50049-9,crossref,2025-10-09T13:42:41+00:00
Distraction Lengthening of the Mandibular Costochondral Graft: A Precautionary Note,2000,Journal Of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200011040-00014,https://doi.org/10.1097/00001665-200011040-00014,crossref,2025-10-09T13:42:41+00:00
Discussion,2001,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1053/joms.2001.21878,https://doi.org/10.1053/joms.2001.21878,crossref,2025-10-09T13:42:41+00:00
Re: Treatment of Temporomandibular Joint Ankylosis in Children: Is it Necessary to Perform Mandibular Distraction Simultaneously?,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200409000-00038,https://doi.org/10.1097/00001665-200409000-00038,crossref,2025-10-09T13:42:41+00:00
Re: Helmet Versus Nonhelmet Treatment in Nonsynostotic Positional Posterior Plagiocephaly.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00018,https://doi.org/10.1097/00001665-200101000-00018,crossref,2025-10-09T13:42:41+00:00
Invited Discussion: A Comparison of Resistance to Fracture Among Four Commercially Available Forms of Hydroxyapatite Cement,2005,Annals of Plastic Surgery,Barry L. Eppley,10.1097/01.sap.0000168528.52998.48,https://doi.org/10.1097/01.sap.0000168528.52998.48,crossref,2025-10-09T13:42:41+00:00
An Unusual Traumatic Fracture of the Mandibular Symphysis Resembling Horizontal Osteotomy for Genioplasty.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200403000-00012,https://doi.org/10.1097/00001665-200403000-00012,crossref,2025-10-09T13:42:41+00:00
Unusual Cranial Aspects of the Apert Syndrome,1996,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199603000-00025,https://doi.org/10.1097/00001665-199603000-00025,crossref,2025-10-09T13:42:41+00:00
Re: Early Bone Grafting in Tessier Number 4 Cleft: A Case Report.,2003,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200305000-00023,https://doi.org/10.1097/00001665-200305000-00023,crossref,2025-10-09T13:42:41+00:00
Alloplastic Biomaterials for Facial Reconstruction,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00008-8,https://doi.org/10.1016/b978-1-4377-2420-2.00008-8,crossref,2025-10-09T13:42:41+00:00
"Re: Comparing the Osteogenic Capacities of Bone Substitutes: Hydroxyapatite, High-Density Porous Polyethylene, and Bone Collagen.",2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200407000-00012,https://doi.org/10.1097/00001665-200407000-00012,crossref,2025-10-09T13:42:41+00:00
Resorbable fixation techniques of mandible fractures in children,2002,Operative Techniques in Otolaryngology-Head and Neck Surgery,Barry L. Eppley,10.1016/s1043-1810(02)80063-x,https://doi.org/10.1016/s1043-1810(02)80063-x,crossref,2025-10-09T13:42:41+00:00
Neurocognitive Sequelae of Scaphocephaly,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00024,https://doi.org/10.1097/00001665-200101000-00024,crossref,2025-10-09T13:42:41+00:00
Fracturas nasales,2005,Traumatismos maxilofaciales y reconstrucción facial estética,Barry L. Eppley,10.1016/b978-84-8174-836-9.50013-4,https://doi.org/10.1016/b978-84-8174-836-9.50013-4,crossref,2025-10-09T13:42:41+00:00
Early Failure of Absorbable Plating in a Patient With Syndromic Brachycephaly.,2004,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200405000-00035,https://doi.org/10.1097/00001665-200405000-00035,crossref,2025-10-09T13:42:41+00:00
Forehead/Brow Reduction or Augmentation with Custom Implants for Enhanced Facial Profileplasty,2019,Facial Plastic Surgery,Barry L. Eppley,10.1055/s-0039-1697962,https://doi.org/10.1055/s-0039-1697962,crossref,2025-10-09T13:42:41+00:00
Experimental Assessment of the Revascularization of Acellular Human Dermis for Soft-Tissue Augmentation,2001,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-200103000-00016,https://doi.org/10.1097/00006534-200103000-00016,crossref,2025-10-09T13:42:41+00:00
Experimental assessment of the effects of revascularization and graft consistency on cervicofacial fat transplantation survival,1989,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/0278-2391(89)90627-7,https://doi.org/10.1016/0278-2391(89)90627-7,crossref,2025-10-09T13:42:41+00:00
Principles of Facial Soft Tissue Injury Repair,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00006-4,https://doi.org/10.1016/b978-1-4377-2420-2.00006-4,crossref,2025-10-09T13:42:41+00:00
Re: Successful Mandibular Reconstruction Using a BMP Bioimplant.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200103000-00006,https://doi.org/10.1097/00001665-200103000-00006,crossref,2025-10-09T13:42:41+00:00
Re: Surgical Buccinator Muscle Myotomy in Dentoskeletal Class II Alterations.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200109000-00003,https://doi.org/10.1097/00001665-200109000-00003,crossref,2025-10-09T13:42:41+00:00
Re: Deep Middle Masseteric Artery (dMMA) Attributed to Hemorrhage in Resection of Masseter Muscle and Mandibular Angle.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200107000-00014,https://doi.org/10.1097/00001665-200107000-00014,crossref,2025-10-09T13:42:41+00:00
In reply,1996,Journal of Oral and Maxillofacial Surgery,Barry L Eppley,10.1016/s0278-2391(96)90196-2,https://doi.org/10.1016/s0278-2391(96)90196-2,crossref,2025-10-09T13:42:41+00:00
Craniofacial Impalement Injury: A Rake in the Face,2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200201000-00006,https://doi.org/10.1097/00001665-200201000-00006,crossref,2025-10-09T13:42:41+00:00
A simplified technique for harvesting large buccal mucosal grafts,1997,Journal of Oral and Maxillofacial Surgery,Barry L Eppley,10.1016/s0278-2391(97)90357-8,https://doi.org/10.1016/s0278-2391(97)90357-8,crossref,2025-10-09T13:42:41+00:00
Re: Holding Power of Bioabsorbable Ciproflaxacin-Containing Self-Reinforced Poly -L/DL-Lactide 70/30 Bioactive Glass 13 Miniscrews in Human Cadaveric Bone.,2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200203000-00007,https://doi.org/10.1097/00001665-200203000-00007,crossref,2025-10-09T13:42:41+00:00
A Resorbable and Rapid Method for Maxillomandibular Fixation in Pediatric Mandible Fractures,2000,Journal Of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200011030-00005,https://doi.org/10.1097/00001665-200011030-00005,crossref,2025-10-09T13:42:41+00:00
